px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
19.7219	15.5393	4.50084	1.95231	0.542006	19.9131	15.554	19.6229	15.5989	-1.80085	4.45372	2.04825
19.6355	15.732	4.4655	1.98061	0.543345	19.9388	15.0864	19.5298	15.8203	-1.92164	4.40193	1.17778
19.523	15.961	4.53056	2.01269	0.547561	19.4748	16.0098	19.4307	16.039	-2.04114	4.3469	0.308708
19.4217	16.1636	4.55174	2.03731	0.542623	19.1556	16.0022	19.3257	16.2549	-2.15925	4.28868	1.48165
19.308	16.3476	4.52323	2.06832	0.545603	19.238	16.2719	19.2148	16.4679	-2.27586	4.22731	0.558669
19.1962	16.5368	4.49811	2.09844	0.549328	19.4007	16.2962	19.0981	16.6777	-2.39087	4.16284	0.2998
19.0536	16.7648	4.5909	2.13038	0.553243	19.0029	16.8387	18.9757	16.8841	-2.50418	4.0953	0.533206
18.9077	16.9533	4.55019	2.17644	0.577975	18.8373	17.7112	18.8477	17.0872	-2.61571	4.02476	7.89639
18.717	17.216	4.75717	2.21306	0.584788	18.6148	17.3832	18.7142	17.2866	-2.72534	3.95127	2.54888
18.6028	17.4172	4.78169	2.22073	0.557748	18.8177	17.0316	18.5752	17.4822	-2.83299	3.87489	4.73207
18.3793	17.6251	4.90344	2.2668	0.572438	18.1023	17.5529	18.4309	17.674	-2.93858	3.79568	4.51631
18.2358	17.8161	4.91007	2.28305	0.556122	18.2749	17.4877	18.2814	17.8617	-3.042	3.71372	2.30467
18.1006	17.9983	4.87365	2.30383	0.550509	18.2094	18.0461	18.1268	18.0453	-3.14318	3.62906	0.759139
17.9282	18.154	4.83372	2.34072	0.561404	18.3021	17.498	17.9671	18.2246	-3.24204	3.5418	1.93581
17.8027	18.2851	4.7045	2.36442	0.557751	17.9018	18.2183	17.8026	18.3994	-3.3385	3.45199	0.951879
17.6697	18.4608	4.67853	2.37806	0.543647	18.8558	18.1364	17.6334	18.5697	-3.43247	3.35973	6.63593
17.4624	18.6514	4.78175	2.40798	0.54593	17.3845	18.7039	17.4595	18.7353	-3.5239	3.26509	0.590155
17.2855	18.7917	4.74875	2.43909	0.549983	17.7945	18.0801	17.281	18.8962	-3.61271	3.16817	1.6597
17.1263	18.9221	4.68009	2.46531	0.548915	17.1762	18.8863	17.0983	19.0521	-3.69883	3.06904	0.25349
16.9568	19.0913	4.69448	2.48155	0.537423	16.9398	19.7311	16.9113	19.203	-3.78221	2.9678	3.25055
